Artist,Title,Price,Low Estimate,High Estimate,Signature,Dummy Signature,Height,Width,Depth,Edition,Year Created,Medium,Medium_new,Medium_Method_Category,Auction Lot,Auction Date,Auction Year,Auction House
Shanming Wu,Untitled,-not sold-,22550,37580,Artist's Seal,1,69,139,,,N/A,Ink / Paper,Works on Paper,Ink,821,8/24/2019,2019,Poly International Auction Co.
Shanming Wu,Untitled,-not sold-,7520,12020,Artist's Seal,1,68,45,,,N/A,Ink / Paper,Works on Paper,Ink,823,8/24/2019,2019,Poly International Auction Co.
Zifan Cui,Untitled,3456,3006,4509,Artist's Seal,1,68,50,,,N/A,Watercolor and ink / Paper,Works on Paper,Watercolor,824,8/24/2019,2019,Poly International Auction Co.
Ou Nie,Untitled,13830,12020,18040,Artist's Seal,1,34,178,,,N/A,Ink / Paper,Works on Paper,Ink,825,8/24/2019,2019,Poly International Auction Co.
Yansheng Zhou,Untitled,-not sold-,6010,9020,Artist's Seal,1,120,59,,,N/A,Watercolor and ink / Paper,Works on Paper,Watercolor,826,8/24/2019,2019,Poly International Auction Co.
Dengqiao Zheng,Untitled,8640,7520,12020,Unavailable,0,52,75,,,N/A,Watercolor and ink / Paper,Works on Paper,Watercolor,828,8/24/2019,2019,Poly International Auction Co.
Chen Guoyong,Untitled,5190,4509,7520,Unavailable,0,80,60,,,N/A,Ink / Paper,Works on Paper,Ink,830,8/24/2019,2019,Poly International Auction Co.
Bolin Huang,Untitled,1382,1202,1803,Artist's Seal,1,35,137,,,N/A,Ink / Paper,Works on Paper,Ink,831,8/24/2019,2019,Poly International Auction Co.
Bolin Huang,Untitled,1382,1202,1803,Artist's Seal,1,35,137,,,N/A,Ink / Paper,Works on Paper,Ink,832,8/24/2019,2019,Poly International Auction Co.
Jia Shi,Untitled,6910,6010,9020,Artist's Seal,1,637,136,,,N/A,Watercolor and ink / Paper,Works on Paper,Watercolor,833,8/24/2019,2019,Poly International Auction Co.
Yiwen Zhou,Untitled,51850,15030,30060,Artist's Seal,1,92,85,,,N/A,Watercolor and ink / Paper,Works on Paper,Watercolor,834,8/24/2019,2019,Poly International Auction Co.
Kuan Jia,Untitled,864,751,1202,Artist's Seal,1,17,70,,,N/A,Watercolor and ink / Paper,Works on Paper,Watercolor,835,8/24/2019,2019,Poly International Auction Co.
Kuan Jia,Untitled,864,751,1202,Artist's Seal,1,17,70,,,N/A,Watercolor and ink / Paper,Works on Paper,Watercolor,836,8/24/2019,2019,Poly International Auction Co.
Jun Fang,Untitled,5190,4509,7520,Artist's Seal,1,95,54,,,N/A,Watercolor and ink / Paper,Works on Paper,Watercolor,837,8/24/2019,2019,Poly International Auction Co.
Jinguo Li,Untitled,-not sold-,6010,9020,Unavailable,0,79,49,,,N/A,Ink / Paper,Works on Paper,Ink,840,8/24/2019,2019,Poly International Auction Co.
Zifan Cui,Untitled,-not sold-,1503,3006,Artist's Seal,1,68,37,,,N/A,Watercolor and ink / Paper,Works on Paper,Watercolor,842,8/24/2019,2019,Poly International Auction Co.
DaWei Liu,Untitled,-not sold-,12020,15030,Artist's Seal,1,69,68,,,N/A,Watercolor and ink / Paper,Works on Paper,Watercolor,843,8/24/2019,2019,Poly International Auction Co.
Junbo Zhang,Untitled,-not sold-,1202,1803,Artist's Seal,1,68,136,,,N/A,Ink / Paper,Works on Paper,Ink,844,8/24/2019,2019,Poly International Auction Co.
Yiming Wang,Untitled,-not sold-,751,1503,Artist's Seal,1,68,68,,,N/A,Watercolor and ink / Paper,Works on Paper,Watercolor,845,8/24/2019,2019,Poly International Auction Co.
Jianjun Yang,Untitled,-not sold-,300,751,Artist's Seal,1,97,59,,,N/A,Ink / Paper,Works on Paper,Ink,846,8/24/2019,2019,Poly International Auction Co.
Shaoqing Lv,Untitled,-not sold-,751,1503,Artist's Seal,1,70,45,,,N/A,Watercolor and ink / Paper,Works on Paper,Watercolor,847,8/24/2019,2019,Poly International Auction Co.
Dan Huang,Untitled,3456,3006,4509,Unavailable,0,135,52,,,N/A,Watercolor and ink / Paper,Works on Paper,Watercolor,848,8/24/2019,2019,Poly International Auction Co.
Chuan Pan,Untitled,-not sold-,1503,3006,Artist's Seal,1,56,66,,,N/A,Watercolor and ink / Paper,Works on Paper,Watercolor,849,8/24/2019,2019,Poly International Auction Co.
Chuan Pan,Untitled,-not sold-,1503,3006,Artist's Seal,1,60,60,,,N/A,Watercolor and ink / Paper,Works on Paper,Watercolor,850,8/24/2019,2019,Poly International Auction Co.
Zhongshi Ouyang,Untitled (2),-not sold-,7520,10520,Artist's Seal,1,,,,,N/A,Ink / Paper,Works on Paper,Ink,851,8/24/2019,2019,Poly International Auction Co.
Zhongshi Ouyang,Untitled,-not sold-,3757,6760,Artist's Seal,1,34,137,,,N/A,Ink / Paper,Works on Paper,Ink,852,8/24/2019,2019,Poly International Auction Co.
Zeng Fan,Untitled,17280,15030,22550,Artist's Seal,1,33,137,,,N/A,Ink / Paper,Works on Paper,Ink,853,8/24/2019,2019,Poly International Auction Co.
Zeng Fan,Untitled,-not sold-,9020,12020,Artist's Seal,1,32,71,,,N/A,Ink / Paper,Works on Paper,Ink,854,8/24/2019,2019,Poly International Auction Co.
Zeng Fan,Untitled,-not sold-,15030,22550,Artist's Seal,1,84,41,,,N/A,Ink / Paper,Works on Paper,Ink,855,8/24/2019,2019,Poly International Auction Co.
Lang Shaojun,Untitled (2),345,3006,4509,Artist's Seal,1,,,,,N/A,Ink / Paper,Works on Paper,Ink,856,8/24/2019,2019,Poly International Auction Co.
Zhongshi Ouyang,Untitled,2592,1503,3006,Artist's Seal,1,139,34,,,N/A,Ink / Paper,Works on Paper,Ink,857,8/24/2019,2019,Poly International Auction Co.
Tianheng Han,Untitled,1037,901,1202,Artist's Seal,1,88,45,,,N/A,Ink / Paper,Works on Paper,Ink,858,8/24/2019,2019,Poly International Auction Co.
Zongyi Rao,Untitled (2),-not sold-,3006,4509,Artist's Seal,1,,,,,N/A,Ink / Paper,Works on Paper,Ink,859,8/24/2019,2019,Poly International Auction Co.
Xuezhong Wang,Untitled (2),-not sold-,1202,1803,Artist's Seal,1,,,,,N/A,Ink / Paper,Works on Paper,Ink,860,8/24/2019,2019,Poly International Auction Co.
Tianchi Wei,Untitled,-not sold-,4208,6010,Artist's Seal,1,104,34,,,N/A,Ink / Paper,Works on Paper,Ink,861,8/24/2019,2019,Poly International Auction Co.
Tianchi Wei,Untitled,1728,1503,3006,Artist's Seal,1,34,136,,,N/A,Ink / Paper,Works on Paper,Ink,863,8/24/2019,2019,Poly International Auction Co.
Shishu Su,Untitled,-not sold-,2254,3757,Artist's Seal,1,81,199,,,N/A,Ink / Paper,Works on Paper,Ink,864,8/24/2019,2019,Poly International Auction Co.
Peiqiu Chen,Untitled,-not sold-,1202,1803,Artist's Seal,1,66,129,,,N/A,Ink / Paper,Works on Paper,Ink,865,8/24/2019,2019,Poly International Auction Co.
Zeng Xian Fang,Untitled,-not sold-,2705,4208,Artist's Seal,1,68,34,,,N/A,Ink / Paper,Works on Paper,Ink,867,8/24/2019,2019,Poly International Auction Co.
Min Han,Untitled,-not sold-,5260,8270,Artist's Seal,1,69,68,,,N/A,Watercolor and ink / Paper,Works on Paper,Watercolor,868,8/24/2019,2019,Poly International Auction Co.
Tianheng Han,Untitled,-not sold-,2705,4208,Artist's Seal,1,75,52,,,N/A,Ink / Paper,Works on Paper,Ink,869,8/24/2019,2019,Poly International Auction Co.
Yueshi Wu,Untitled,518,450,751,Artist's Seal,1,110,34,,,N/A,Watercolor and ink / Paper,Works on Paper,Watercolor,873,8/24/2019,2019,Poly International Auction Co.
Dawei Shi,Untitled,-not sold-,2705,4208,Artist's Seal,1,129,69,,,N/A,Watercolor and ink / Paper,Works on Paper,Watercolor,874,8/24/2019,2019,Poly International Auction Co.
Ruo Mei,Untitled,-not sold-,1503,3006,Artist's Seal,1,136,69,,,N/A,Watercolor and ink / Paper,Works on Paper,Watercolor,876,8/24/2019,2019,Poly International Auction Co.
Jusheng Sun,Untitled,-not sold-,3757,5260,Artist's Seal,1,68,68,,,N/A,Watercolor and ink / Paper,Works on Paper,Watercolor,879,8/24/2019,2019,Poly International Auction Co.
Bingxin Gu,Untitled,-not sold-,751,1202,Artist's Seal,1,96,57,,,N/A,Watercolor and ink / Paper,Works on Paper,Watercolor,881,8/24/2019,2019,Poly International Auction Co.
Changgu Zhou,Untitled,-not sold-,15030,22550,Artist's Seal,1,67,46,,,N/A,Watercolor and ink / Paper,Works on Paper,Watercolor,882,8/24/2019,2019,Poly International Auction Co.
JiGao Yu,Untitled,8640,7520,12020,Artist's Seal,1,66,66,,,N/A,Watercolor and ink / Paper,Works on Paper,Watercolor,885,8/24/2019,2019,Poly International Auction Co.
Jusheng Sun,Untitled,-not sold-,2254,3757,Artist's Seal,1,108,30,,,N/A,Watercolor and ink / Paper,Works on Paper,Watercolor,886,8/24/2019,2019,Poly International Auction Co.
Yujia Liu,Untitled,3456,3006,4509,Artist's Seal,1,93,1018,,,N/A,Watercolor and ink / Paper,Works on Paper,Watercolor,887,8/24/2019,2019,Poly International Auction Co.
Qizhong Wu,Untitled,-not sold-,2254,3757,Artist's Seal,1,70,138,,,N/A,Watercolor and ink / Paper,Works on Paper,Watercolor,888,8/24/2019,2019,Poly International Auction Co.
Xuezhong Wang,Untitled,-not sold-,3006,4509,Artist's Seal,1,69,1200,,,N/A,Watercolor and ink / Paper,Works on Paper,Watercolor,889,8/24/2019,2019,Poly International Auction Co.
Bu Zhang,Untitled,-not sold-,1202,1803,Artist's Seal,1,45,69,,,N/A,Watercolor and ink / Paper,Works on Paper,Watercolor,890,8/24/2019,2019,Poly International Auction Co.
Zhanyan Liang,Untitled,-not sold-,4509,7520,Artist's Seal,1,137,69,,,N/A,Watercolor and ink / Paper,Works on Paper,Watercolor,892,8/24/2019,2019,Poly International Auction Co.
Yefu Bai,Untitled,-not sold-,1202,1803,Artist's Seal,1,47,158,,,N/A,Watercolor and ink / Paper,Works on Paper,Watercolor,894,8/24/2019,2019,Poly International Auction Co.
Yefu Bai,Untitled,-not sold-,1202,1803,Artist's Seal,1,47,59,,,N/A,Watercolor and ink / Paper,Works on Paper,Watercolor,895,8/24/2019,2019,Poly International Auction Co.
Yunchang Jin,Untitled,-not sold-,1202,1803,Artist's Seal,1,34,68,,,N/A,Watercolor and ink / Paper,Works on Paper,Watercolor,901,8/24/2019,2019,Poly International Auction Co.
Yunchang Jin,Untitled,-not sold-,1202,1803,Artist's Seal,1,35,68,,,N/A,Watercolor and ink / Paper,Works on Paper,Watercolor,902,8/24/2019,2019,Poly International Auction Co.
Yunchang Jin,Untitled (2),-not sold-,1202,1803,Unavailable,0,,,,,N/A,Ink / Paper,Works on Paper,Ink,903,8/24/2019,2019,Poly International Auction Co.
Zhihui Zhang,Untitled,12100,10520,13530,Artist's Seal,1,68,136,,,N/A,Ink / Paper,Works on Paper,Ink,904,8/24/2019,2019,Poly International Auction Co.
Yingzhan Huang,Untitled,34570,10520,13530,Artist's Seal,1,34,138,,,N/A,Ink / Paper,Works on Paper,Ink,905,8/24/2019,2019,Poly International Auction Co.
Xuezhong Wang,Untitled,-not sold-,3006,4509,Artist's Seal,1,69,69,,,N/A,Watercolor and ink / Paper,Works on Paper,Watercolor,906,8/24/2019,2019,Poly International Auction Co.
Xuezhong Wang,Untitled,1382,1202,1803,Artist's Seal,1,136,69,,,N/A,Watercolor and ink / Paper,Works on Paper,Watercolor,908,8/24/2019,2019,Poly International Auction Co.
Erlang Liu,Untitled (2),-not sold-,1202,1803,Artist's Seal,1,,,,,N/A,Watercolor and ink / Paper,Works on Paper,Watercolor,909,8/24/2019,2019,Poly International Auction Co.
Mingye Ni,Untitled,12100,10520,13530,Artist's Seal,1,31,31,,,N/A,Paper / Paper,Works on Paper,Paper,910,8/24/2019,2019,Poly International Auction Co.
Huaiyue Fan,Untitled,12100,15030,22550,Artist's Seal,1,135,68,,,N/A,Watercolor and ink / Paper,Works on Paper,Watercolor,911,8/24/2019,2019,Poly International Auction Co.
Wengong Wu,Hanging scroll,12100,7520,10520,Artist's Seal,1,134,66,,,N/A,Ink / Paper,Works on Paper,Ink,913,8/24/2019,2019,Poly International Auction Co.
Chengyun Xu,Untitled,1728,10520,13530,Artist's Seal,1,50,181,,,N/A,Ink / Paper,Works on Paper,Ink,914,8/24/2019,2019,Poly International Auction Co.
Lianghu Wang,Untitled,34570,30060,45090,Unavailable,0,,,,,N/A,Watercolor and ink / Paper,Works on Paper,Watercolor,915,8/24/2019,2019,Poly International Auction Co.
Leonard Tsuguharu Foujita,GIRL WITH BUTTERFLY IN FRONT OF PAINTER’S HOUSE,345690,300600,450900,Signed,1,33,21,,,. 19,Oil / Canvas,Painting,Oil,4501,6/04/2019,2019,Poly International Auction Co.
Leonard Tsuguharu Foujita,GIRL WITH CAT,691380,601200,901800,Signed,1,41,24.5,,,. La,Oil / Canvas,Painting,Oil,4502,6/04/2019,2019,Poly International Auction Co.
Leonard Tsuguharu Foujita,GIRL WITH A RED BOWKNOT,-not sold-,270540,420840,Signed and Dated,1,24,10,,,1961,Oil / Canvas,Painting,Oil,4503,6/04/2019,2019,Poly International Auction Co.
Leonard Tsuguharu Foujita,ATHENA AND TIGER,1175350,1022040,1322640,Signed and Dated,1,90,35,,,1923,Oil / Canvas,Painting,Oil,4504,6/04/2019,2019,Poly International Auction Co.
Wei Tianlin,JIETAI TEMPLE,172850,150300,300600,Signed and Dated,1,43,48,,,1973,Oil / Canvas,Painting,Oil,4505,6/04/2019,2019,Poly International Auction Co.
Baoyi Chen,STILL LIFE,-not sold-,120240,150300,Signed and Dated,1,38,46,,,1925,Oil / Canvas,Painting,Oil,4506,6/04/2019,2019,Poly International Auction Co.
Fengmian Lin,THE PIPA PLAYER,-not sold-,225450,375750,Signed,1,34.5,34.5,,,1964,Watercolor and ink / Paper,Works on Paper,Watercolor,4507,6/04/2019,2019,Poly International Auction Co.
Pang Hiunkin,MIAO GIRL,-not sold-,45090,75150,Signed,1,58,42.5,,,. 19,Watercolor and ink / Paper,Works on Paper,Watercolor,4508,6/04/2019,2019,Poly International Auction Co.
Guanzhong Wu,STREAMSIDE SORGHUM,1538320,1202400,2404800,Signed and Dated,1,61,46,,,1974,Oil / Panel,Painting,Oil,4509,6/04/2019,2019,Poly International Auction Co.
Guanzhong Wu,THREE“ISLANDS”OF THE HUANG MOUNTAINS,2212420,1202400,2404800,Signed,1,68,40.5,,,1975,Oil / Panel,Painting,Oil,4510,6/04/2019,2019,Poly International Auction Co.
Guanzhong Wu,FISHING PORT,3370480,2254500,3757500,Signed and Dated,1,46,61,,,1976,Oil / Panel,Painting,Oil,4511,6/04/2019,2019,Poly International Auction Co.
Guanzhong Wu,INDIAN WOMEN,1209920,1052100,1803600,Signed and Dated,1,53.5,46,,,1987,Oil / Canvas,Painting,Oil,4512,6/04/2019,2019,Poly International Auction Co.
Guanzhong Wu,JADE DRAGON PINE,864230,751500,1202400,Signed and Dated,1,93,68.5,,,1988,Watercolor and ink / Paper,Works on Paper,Watercolor,4513,6/04/2019,2019,Poly International Auction Co.
Fengmian Lin,HYDRANGEA,-not sold-,225450,375750,Signed,1,67,67.5,,,. 19,Watercolor and ink / Paper,Works on Paper,Watercolor,4514,6/04/2019,2019,Poly International Auction Co.
Wou-Ki Zao,2.6.1961,4493970,2705400,5260500,Signed,1,73,116,,,1961,Oil / Canvas,Painting,Oil,4515,6/04/2019,2019,Poly International Auction Co.
Wou-Ki Zao,01.09.60,4321130,2404800,4509000,Signed,1,81,65,,,1961,Oil / Canvas,Painting,Oil,4516,6/04/2019,2019,Poly International Auction Co.
Yide Jin,JOINING THE COMMUNIST PARTY,34570,30060,60120,Signed,1,88,149,,,1959,Oil / Canvas,Painting,Oil,4517,6/04/2019,2019,Poly International Auction Co.
Naizheng Zhu,OLD SECRETARY AND NEW CAPTAIN,1296340,751500,1052100,Unavailable,0,150,180,,,1974,Oil / Canvas,Painting,Oil,4518,6/04/2019,2019,Poly International Auction Co.
Guo Shaogang and Yun Qicang,CLOSELY FOLLOW THE GREAT LEADER CHAIRMAN MAO AND FORGE AHEAD COURAGEOUSLY AMID GREAT STORMS AND WAVES,1728450,1022040,1322640,Signed on Reverse,1,163,239,,,1972,Oil / Canvas,Painting,Oil,4519,6/04/2019,2019,Poly International Auction Co.
Xiao Feng and Song Ren,BAI QIU’EN,691380,601200,901800,Signed,1,135,157,,,1973,Oil / Canvas,Painting,Oil,4520,6/04/2019,2019,Poly International Auction Co.
Shuji Li,TEST-TAKING,138280,120240,240480,Signed on Reverse,1,182,241,,,1979,Oil / Canvas,Painting,Oil,4521,6/04/2019,2019,Poly International Auction Co.
Kaiqu Liu,SEATED SCULPTURE OF CAI YUANPEI,1123490,901800,1202400,Unavailable,0,280,138,195,,1987,Bronze,Sculpture,Metal,4522,6/04/2019,2019,Poly International Auction Co.
Shanyu Hu,SICHUAN SCENERY,-not sold-,42080,57110,Signed,1,45.5,60.8,,,1978,Oil / Canvas,Painting,Oil,4523,6/04/2019,2019,Poly International Auction Co.
Junde Chen,LANDSCAPE OF GUILIN,311120,270540,390780,Signed and Dated,1,116,166,,,1984,Oil / Canvas,Painting,Oil,4524,6/04/2019,2019,Poly International Auction Co.
Junde Chen,SPRING DAY,69140,60120,90180,Signed and Dated,1,100,100,,,2001,Oil / Canvas,Painting,Oil,4525,6/04/2019,2019,Poly International Auction Co.
Luo Erchun,MOUNTAIN VILLAGE(RETURNING AT DUSK),-not sold-,225450,300600,Signed,1,134,125,,,1989,Oil / Canvas,Painting,Oil,4526,6/04/2019,2019,Poly International Auction Co.
Luo Erchun,WESTERN HILL WREATHED IN SNOW,-not sold-,45090,75150,Signed and Dated,1,39,53,,,1972,Oil / Canvas,Painting,Oil,4527,6/04/2019,2019,Poly International Auction Co.
Wou-Ki Zao,STRUCTURE,96790,82670,127760,Signed and Dated,1,28.5,38,,,1972,Watercolor and ink / Paper,Works on Paper,Watercolor,4528,6/04/2019,2019,Poly International Auction Co.
Musi Tuo,HORSEBACK RIDING WITH A BUCKET OF MILK,108890,60120,90180,Signed and Dated,1,80,116,,,2006,Oil / Canvas,Painting,Oil,4529,6/04/2019,2019,Poly International Auction Co.
Yidong Wang,SINGING PEACOCK,553100,120240,240480,Signed and Dated,1,55,38,,,2018,Oil / Canvas,Painting,Oil,4530,6/04/2019,2019,Poly International Auction Co.
Feiyun Yang,LAKE,864230,450900,751500,Signed and Dated,1,115.5,81,,,2000,Oil / Canvas,Painting,Oil,4531,6/04/2019,2019,Poly International Auction Co.
Liyou Long,NEWBORN CALVES,-not sold-,225450,300600,Signed and Dated,1,120,160,,,2008,Oil / Canvas,Painting,Oil,4532,6/04/2019,2019,Poly International Auction Co.
Yan Li,ME AND ME,44940,22550,30060,Signed and Dated,1,83,57,,,1979,Oil / Canvas,Painting,Oil,4533,6/04/2019,2019,Poly International Auction Co.
Pinggang Tang,UNTITLED,-not sold-,22550,30060,Signed and Dated,1,56,50,,,1980,Oil / Canvas,Painting,Oil,4534,6/04/2019,2019,Poly International Auction Co.
Kelu Ma,LIGHT OF RATIONALITY II,65680,57110,87170,Signed and Dated,1,71,123.2,,,1983,Oil / Canvas,Painting,Oil,4535,6/04/2019,2019,Poly International Auction Co.
Xiaodong Cao,NO MAN’S LAND NO.1,259270,225450,300600,Unavailable,0,83,126,,,1986,Oil / Canvas,Painting,Oil,4536,6/04/2019,2019,Poly International Auction Co.
Jian Ren,STAMP COLLECTING (6),-not sold-,22550,30060,Unavailable,0,,,,,1991,Oil / Canvas,Painting,Oil,4537,6/04/2019,2019,Poly International Auction Co.
Guodong Feng,LAST SUPPER I,86420,75150,120240,Signed on Reverse,1,90,122,,,2002,Oil / Canvas,Painting,Oil,4538,6/04/2019,2019,Poly International Auction Co.
Shuqing Ma,STUDY OF FORM (3),259270,225450,300600,Signed and Dated,1,,,,,1997,Oil / Canvas,Painting,Oil,4539,6/04/2019,2019,Poly International Auction Co.
Wang Mai,WORLD STAGE NO.1,345690,120240,240480,Signed and Dated,1,160,110,,,1996,Oil / Canvas,Painting,Oil,4540,6/04/2019,2019,Poly International Auction Co.
Yang Shang,PICKING CORN INCESSANTLY,172850,150300,225450,Signed and Dated,1,90,88,,,1986,Oil / Canvas,Painting,Oil,4541,6/04/2019,2019,Poly International Auction Co.
Duoling He,UNTITLED,777800,450900,751500,Signed and Dated,1,100,81,,,1996,Oil / Canvas,Painting,Oil,4543,6/04/2019,2019,Poly International Auction Co.
Xuhui Mao,93 PARENTS TRIPTYQUE A,1901300,676350,976950,Signed and Dated,1,,,,,1993,Oil / Canvas,Painting,Oil,4544,6/04/2019,2019,Poly International Auction Co.
Chunya Zhou,RUBY,259270,240480,330660,Signed and Dated,1,80,100,,,1995,Oil / Canvas,Painting,Oil,4545,6/04/2019,2019,Poly International Auction Co.
Fanzhi Zeng,DUSK NO.1,2074140,1803600,3306600,Signed and Dated,1,80,100,,,1989,Oil / Canvas,Painting,Oil,4546,6/04/2019,2019,Poly International Auction Co.
Xiaodong Liu,COMPUTER LEADER,6913800,n/a,n/a,Signed and Dated,1,230,180,,,1996,Oil / Canvas,Painting,Oil,4548,6/04/2019,2019,Poly International Auction Co.
Xiaodong Liu,AS GOOD AS IT CAN GET NO.33,449400,270540,420840,Signed and Dated,1,173,142,,,2002,Acrylic / Paper,Works on Paper,Acrylic,4549,6/04/2019,2019,Poly International Auction Co.
Xiaodong Liu,BLUE PEACH,518540,420840,571140,Signed and Dated,1,200,200,,,2011,Oil / Canvas,Painting,Oil,4550,6/04/2019,2019,Poly International Auction Co.
Ling Shen,CRAB-APPLE OVERSHADOWED BY PEAR BLOSSOM,-not sold-,90180,120240,Signed and Dated,1,170,180,,,2005,Oil / Canvas,Painting,Oil,4551,6/04/2019,2019,Poly International Auction Co.
Liu Ye,"MONDRIAN,DICK BRUNA AND ME",1590170,1202400,2404800,Signed and Dated,1,120,80,,,2003,Acrylic / Canvas,Painting,Acrylic,4552,6/04/2019,2019,Poly International Auction Co.
Fang Lijun,2002.1.10 (4),1555610,1202400,2404800,Unavailable,0,,,,,2002,Oil / Canvas,Painting,Oil,4553,6/04/2019,2019,Poly International Auction Co.
Minjun Yue,ROCKERY-2,259270,150300,225450,Signed and Dated,1,140,125,,,2003,Oil / Canvas,Painting,Oil,4554,6/04/2019,2019,Poly International Auction Co.
Guangyi Wang,GREAT CRITICISM SERIES-HINE XO,120990,90180,120240,Unavailable,0,150,120,,,1994,Oil / Canvas,Painting,Oil,4555,6/04/2019,2019,Poly International Auction Co.
Xuhui Mao,SCISSOR AND GUISHAN SCENERY(SCISSOR·ANTHEM NO.1),107160,90180,120240,Signed and Dated,1,138,113,,,1998,Oil / Canvas,Painting,Oil,4556,6/04/2019,2019,Poly International Auction Co.
Yonghong Song,COUPLE NEAR RIVERBANK,25930,22550,37580,Signed and Dated,1,81,100,,,2005,Oil / Canvas,Painting,Oil,4557,6/04/2019,2019,Poly International Auction Co.
Wenji Chen,E,-not sold-,75150,120240,Signed and Dated,1,100,100,,,2005,Oil,Painting,Oil,4559,6/04/2019,2019,Poly International Auction Co.
Wenji Chen,EVERYTHING,259270,225450,300600,Unavailable,0,180,180,,,2006,Oil / Canvas,Painting,Oil,4560,6/04/2019,2019,Poly International Auction Co.
Ping Tan,UNTITLED,259270,225450,300600,Signed and Dated,1,200,300,,,2014,Acrylic / Canvas,Painting,Acrylic,4561,6/04/2019,2019,Poly International Auction Co.
Changjiang Zhou,COMPLIMENTARY——DAO OF HEAVEN AND DAO OF HUMANS,25930,22550,30060,Signed on Reverse,1,360,180,240,,2008,Mixed Media,Mixed Media,Mixed Media,4562,6/04/2019,2019,Poly International Auction Co.
Guoqiang Cai,APEC CITYSCAPE FIREWORKS SHOWODE TO JOY,1002500,826650,1277550,Signed and Dated,1,300,400,,,2002,Mixed Media / Paper,Mixed Media,Mixed Media,4563,6/04/2019,2019,Poly International Auction Co.
Zhen Chen,UN-INTERRUPTED VOICE,259270,120240,240480,Unavailable,0,140,145,70.5,,1998,Mixed Media,Mixed Media,Mixed Media,4566,6/04/2019,2019,Poly International Auction Co.
Sui Jianguo,MANTLE,207410,180360,330660,Unavailable,0,240,160,130,,1997,Iron,Sculpture,Metal,4567,6/04/2019,2019,Poly International Auction Co.
Gu Dexin,2004.05.09,259270,225450,300600,Unavailable,0,,,,,2004,Porcelain,Sculpture,Ceramic,4568,6/04/2019,2019,Poly International Auction Co.
Zhanyang Li,OPERATING ROOM,-not sold-,30060,45090,Unavailable,0,102,68,75,Thu Apr 04 00:00:00 EDT 2019,2006,Bronze,Sculpture,Metal,4569,6/04/2019,2019,Poly International Auction Co.
Du Wang,CHINA DAILY,100250,45090,60120,Unavailable,0,250,130,156,,2006,Bronze,Sculpture,Metal,4570,6/04/2019,2019,Poly International Auction Co.
Yuxing Huang,NIGHT CROSSING THREE POOLS,114080,60120,90180,Signed and Dated,1,120,180,,,2016,Acrylic / Canvas,Painting,Acrylic,4571,6/04/2019,2019,Poly International Auction Co.
Ke Ma,BLIND,-not sold-,27050,42080,Signed and Dated,1,200,150,,,2009,Oil / Canvas,Painting,Oil,4572,6/04/2019,2019,Poly International Auction Co.
Enli Zhang,FIRE,190130,150300,225450,Signed and Dated,1,200,180,,,2013,Oil / Canvas,Painting,Oil,4573,6/04/2019,2019,Poly International Auction Co.
Enli Zhang,INNER ROOM,138280,120240,240480,Signed and Dated,1,150,150,,,2016,Oil / Canvas,Painting,Oil,4574,6/04/2019,2019,Poly International Auction Co.
Lei Cai,IN AMBIGUOUS SIGHT 170310,32840,22550,45090,Unavailable,0,180,113,18,,2017,Acrylic,Sculpture,Acrylic,4575,6/04/2019,2019,Poly International Auction Co.
Wei Liu,"Purple Air S,2010",518540,420840,571140,Signed and Dated,1,220,400,,,2010,Oil / Canvas,Painting,Oil,4576,6/04/2019,2019,Poly International Auction Co.
Jianwei Wang,TBC (3),483970,150300,225450,Signed and Dated,1,,,,,2015,Mixed Media / Canvas,Mixed Media,Mixed Media,4577,6/04/2019,2019,Poly International Auction Co.
Wenbo Chen,ENTRANCE,34570,30060,45090,Unavailable,0,200,300,,,2015,Oil / Canvas,Painting,Oil,4578,6/04/2019,2019,Poly International Auction Co.
Yujun Chen,ASIAN LAND SIX SQUARE METERS NO.20091218,39750,27050,42080,Signed and Dated,1,200,300,,,2009,Acrylic / Canvas,Painting,Acrylic,4579,6/04/2019,2019,Poly International Auction Co.
Qi Qin,BICYCLE FRONT 2,483970,120240,240480,Signed and Dated,1,190,250,,,2006,Oil / Canvas,Painting,Oil,4580,6/04/2019,2019,Poly International Auction Co.
Qi Qin,RAIN BOOTS,31110,27050,42080,Signed and Dated,1,100,100,,,2011,Oil / Canvas,Painting,Oil,4581,6/04/2019,2019,Poly International Auction Co.
Haiyang Wang,UNTITLED,-not sold-,18040,27050,Signed and Dated,1,110,135,,,2012,Acrylic / Canvas,Painting,Acrylic,4582,6/04/2019,2019,Poly International Auction Co.
Nv Jin,MY FAIRYTALEPERFECTION,-not sold-,18040,24050,Signed and Dated,1,136,140,170,Thu Apr 04 00:00:00 EDT 2019,2007,Resin,Sculpture,Resin,4583,6/04/2019,2019,Poly International Auction Co.
Yongsheng Zhang,SPECTRUM 42,60500,52610,67640,Unavailable,0,100,100,,,2013,Oil / Canvas,Painting,Oil,4584,6/04/2019,2019,Poly International Auction Co.
Chounhwan Lee,BREATH OF MOUNTAIN,190130,150300,300600,Signed and Dated,1,162,112,,,2016,Oil / Canvas,Painting,Oil,4585,6/04/2019,2019,Poly International Auction Co.
Dongmin Ma,TEMPERATURE,345690,300600,450900,Unavailable,0,150,150,,,2018,Oil / Canvas,Painting,Oil,4586,6/04/2019,2019,Poly International Auction Co.
