Artist,Title,Price,Low Estimate,High Estimate,Signature,Signed?,Height,Width,Depth,Edition,Year Created,Medium,Auction Lot,Auction Date,Auction Year,Auction House,
Junbi Huang,Untitled (4),13830,12020,15030,Artist's Seal,1,,,,,N/A,Watercolor and ink / Paper,362,8/24/2019,2019,Poly International Auction Co.,
XiangNing He,Untitled,13830,12020,18040,Artist's Seal,1,98,39,,,N/A,Ink / Paper,364,8/24/2019,2019,Poly International Auction Co.,
XiangNing He,Untitled,-not sold-,2254,3757,Artist's Seal,1,94,29,,,N/A,Watercolor and ink / Paper,365,8/24/2019,2019,Poly International Auction Co.,
Yuese Tan,Untitled,-not sold-,1202,1803,Artist's Seal,1,136,25,,,N/A,Ink / Paper,366,8/24/2019,2019,Poly International Auction Co.,
Yunhe Zhao,Untitled,-not sold-,27050,42080,Artist's Seal,1,151,81,,,N/A,Watercolor and ink / Paper,367,8/24/2019,2019,Poly International Auction Co.,
Xingjing Wang,Untitled,-not sold-,2254,3757,Artist's Seal,1,117,48,,,N/A,Watercolor and ink / Paper,368,8/24/2019,2019,Poly International Auction Co.,
Quan Pu,Untitled,-not sold-,2254,3757,Artist's Seal,1,109,31,,,N/A,Watercolor and ink / Paper,369,8/24/2019,2019,Poly International Auction Co.,
Xiaozhou Chen,Untitled,-not sold-,901,1202,Artist's Seal,1,150,41,,,N/A,Watercolor and ink / Paper,370,8/24/2019,2019,Poly International Auction Co.,
Meicun Zhu,Untitled,-not sold-,4509,7520,Artist's Seal,1,85,37,,,N/A,Watercolor and ink / Paper,371,8/24/2019,2019,Poly International Auction Co.,
Bangda Xu,Untitled,864,2254,3757,Artist's Seal,1,103,49,,,N/A,Watercolor and ink / Paper,372,8/24/2019,2019,Poly International Auction Co.,
Yeping Ying,Untitled,-not sold-,1503,3006,Artist's Seal,1,88,44,,,N/A,Watercolor and ink / Paper,375,8/24/2019,2019,Poly International Auction Co.,
Shixian Wu,Untitled,1382,1202,1803,Artist's Seal,1,136,32,,,N/A,Watercolor and ink / Paper,377,8/24/2019,2019,Poly International Auction Co.,
Xi Lian,Untitled,-not sold-,3006,4509,Artist's Seal,1,161,38,,,N/A,Watercolor and ink / Paper,378,8/24/2019,2019,Poly International Auction Co.,
Zhang Cheng,Untitled,-not sold-,1803,3006,Artist's Seal,1,112,54,,,N/A,Watercolor and ink / Paper,381,8/24/2019,2019,Poly International Auction Co.,
Cheng Zhu,Untitled,-not sold-,3757,5260,Artist's Seal,1,88,46,,,N/A,Watercolor and ink / Paper,382,8/24/2019,2019,Poly International Auction Co.,
Shuqi Zhang,Untitled,-not sold-,2254,3757,Artist's Seal,1,114,39,,,N/A,Watercolor and ink / Paper,385,8/24/2019,2019,Poly International Auction Co.,
Yachen Wang,Untitled,-not sold-,2254,3757,Artist's Seal,1,77,37,,,N/A,Watercolor and ink / Paper,386,8/24/2019,2019,Poly International Auction Co.,
Changshuo Wu,Untitled,-not sold-,22550,37580,Artist's Seal,1,167,46,,,N/A,Watercolor and ink / Paper,387,8/24/2019,2019,Poly International Auction Co.,
Xi Cai,Untitled,12100,7520,10520,Artist's Seal,1,,,,,N/A,Watercolor and ink / Paper,388,8/24/2019,2019,Poly International Auction Co.,
XueTao Wang,Folding fan,3802,1503,3006,Artist's Seal,1,10,50,,,N/A,Watercolor and ink / Paper,396,8/24/2019,2019,Poly International Auction Co.,
Pu Hua,Fan,-not sold-,2705,4208,Artist's Seal,1,17,48,,,N/A,Watercolor and ink / Paper,397,8/24/2019,2019,Poly International Auction Co.,
Xianglan Ge,Untitled,-not sold-,6010,9020,Artist's Seal,1,128,65,,,N/A,Watercolor and ink / Paper,403,8/24/2019,2019,Poly International Auction Co.,
Shiguang Tian,Untitled,-not sold-,12020,18040,Artist's Seal,1,100,32,,,N/A,Watercolor and ink / Paper,405,8/24/2019,2019,Poly International Auction Co.,
Bolong Yan,Untitled,5190,4509,7520,Artist's Seal,1,100,33,,,N/A,Watercolor and ink / Paper,406,8/24/2019,2019,Poly International Auction Co.,
Bolong Yan,Untitled,-not sold-,30060,45090,Artist's Seal,1,136,68,,,N/A,Watercolor and ink / Paper,407,8/24/2019,2019,Poly International Auction Co.,
Zuoren Wu,Untitled,8640,7520,12020,Artist's Seal,1,66,32,,,N/A,Watercolor and ink / Paper,409,8/24/2019,2019,Poly International Auction Co.,
Jie Yu,Untitled,-not sold-,1503,3006,Artist's Seal,1,131,32,,,N/A,Watercolor and ink / Paper,410,8/24/2019,2019,Poly International Auction Co.,
Zhang Cheng,Untitled,-not sold-,4509,7520,Artist's Seal,1,150,40,,,N/A,Watercolor and ink / Paper,411,8/24/2019,2019,Poly International Auction Co.,
Yiting Wang,Untitled,-not sold-,3006,4509,Artist's Seal,1,60,34,,,N/A,Watercolor and ink / Paper,413,8/24/2019,2019,Poly International Auction Co.,
Qiucao Chen,Untitled,-not sold-,1202,1803,Artist's Seal,1,122,60,,,N/A,Watercolor and ink / Paper,414,8/24/2019,2019,Poly International Auction Co.,
Dawen Wang,Untitled,-not sold-,751,1202,Artist's Seal,1,46,34,,,N/A,Watercolor and ink / Paper,415,8/24/2019,2019,Poly International Auction Co.,
Daqian Zhang,Untitled,-not sold-,12020,18040,Artist's Seal,1,25,17,,,N/A,Watercolor and ink / Paper,416,8/24/2019,2019,Poly International Auction Co.,
Shifa Cheng,Untitled,-not sold-,6010,9020,Artist's Seal,1,57,60,,,N/A,Watercolor and ink / Paper,417,8/24/2019,2019,Poly International Auction Co.,
Qianyu Ye,Untitled,-not sold-,1202,1803,Artist's Seal,1,68,46,,,N/A,Watercolor and ink / Paper,418,8/24/2019,2019,Poly International Auction Co.,
Zhi Guang Yang,Untitled,-not sold-,12020,18040,Artist's Seal,1,45,62,,,N/A,Watercolor and ink / Paper,419,8/24/2019,2019,Poly International Auction Co.,
Rending Fang,Untitled,7780,6760,9770,Artist's Seal,1,63,49,,,N/A,Watercolor and ink / Paper,420,8/24/2019,2019,Poly International Auction Co.,
Kegang Sun,Untitled,-not sold-,1803,3006,Artist's Seal,1,82,40,,,N/A,Ink / Paper,421,8/24/2019,2019,Poly International Auction Co.,
Zhenchuan Zhao,Untitled,-not sold-,1503,3757,Artist's Seal,1,65,38,,,N/A,Watercolor and ink / Paper,422,8/24/2019,2019,Poly International Auction Co.,
Haixia He,Untitled,-not sold-,1803,3006,Artist's Seal,1,70,46,,,N/A,Watercolor and ink / Paper,423,8/24/2019,2019,Poly International Auction Co.,
Qizhan Zhu,Untitled,-not sold-,37580,52610,Artist's Seal,1,115,68,,,N/A,Watercolor and ink / Paper,424,8/24/2019,2019,Poly International Auction Co.,
Yachen Wang,Untitled,-not sold-,1503,3006,Artist's Seal,1,46,34,,,N/A,Watercolor and ink / Paper,425,8/24/2019,2019,Poly International Auction Co.,
Shoushan Guo,Untitled,-not sold-,1503,3006,Artist's Seal,1,27,98,,,N/A,Watercolor and ink / Paper,426,8/24/2019,2019,Poly International Auction Co.,
Yuguang Zhang,Untitled,-not sold-,1503,3006,Artist's Seal,1,33,41,,,N/A,Watercolor and ink / Paper,427,8/24/2019,2019,Poly International Auction Co.,
Dazhuang Zhang,Untitled,-not sold-,1503,3006,Artist's Seal,1,32,28,,,N/A,Watercolor and ink / Paper,428,8/24/2019,2019,Poly International Auction Co.,
Linzhai Chen,Untitled,4321,3757,5260,Artist's Seal,1,32,55,,,N/A,Watercolor and ink / Paper,431,8/24/2019,2019,Poly International Auction Co.,
Huanwu Huang,Untitled,-not sold-,2254,3757,Artist's Seal,1,98,30,,,N/A,Watercolor and ink / Paper,432,8/24/2019,2019,Poly International Auction Co.,
Jie Jiang,Untitled,-not sold-,1803,3006,Artist's Seal,1,115,41,,,N/A,Watercolor and ink / Paper,433,8/24/2019,2019,Poly International Auction Co.,
Peifu Wu,Untitled,-not sold-,9020,12020,Artist's Seal,1,115,41,,,N/A,Ink / Paper,434,8/24/2019,2019,Poly International Auction Co.,
Mo Chen,Untitled,3456,3006,4509,Artist's Seal,1,96,39,,,N/A,Watercolor and ink / Paper,435,8/24/2019,2019,Poly International Auction Co.,
Ren Yu,Untitled,-not sold-,2254,3757,Artist's Seal,1,119,39,,,N/A,Watercolor and ink / Paper,436,8/24/2019,2019,Poly International Auction Co.,
Huian Qian,Untitled,-not sold-,4509,7520,Artist's Seal,1,130,38,,,N/A,Watercolor and ink / Paper,437,8/24/2019,2019,Poly International Auction Co.,
Danzhai Liu,Calligraphy,-not sold-,6010,9020,Artist's Seal,1,42,76,,,N/A,Ink / Paper,438,8/24/2019,2019,Poly International Auction Co.,
Zheng Ren,Calligraphy,-not sold-,450,751,Artist's Seal,1,35,68,,,N/A,Ink / Paper,439,8/24/2019,2019,Poly International Auction Co.,
Wenzhi Song,Calligraphy,-not sold-,3306,4809,Artist's Seal,1,36,84,,,N/A,Ink / Paper,440,8/24/2019,2019,Poly International Auction Co.,
Youren Yu,Calligraphy,5190,4509,7520,Artist's Seal,1,22,64,,,N/A,Ink / Paper,441,8/24/2019,2019,Poly International Auction Co.,
Qian Juntao,Calligraphy,-not sold-,1503,3006,Artist's Seal,1,33,130,,,N/A,Ink / Paper,442,8/24/2019,2019,Poly International Auction Co.,
Shifa Cheng,Calligraphy,-not sold-,7520,12020,Artist's Seal,1,26,68,,,N/A,Ink / Paper,443,8/24/2019,2019,Poly International Auction Co.,
Shaosong Yu,Calligraphy,-not sold-,4509,7520,Artist's Seal,1,25,132,,,N/A,Ink / Paper,444,8/24/2019,2019,Poly International Auction Co.,
Zuolin Zhang,Calligraphy,-not sold-,22550,37580,Artist's Seal,1,28,96,,,N/A,Ink / Paper,445,8/24/2019,2019,Poly International Auction Co.,
PuChu Zhao,Calligraphy,27660,24050,37580,Artist's Seal,1,38,99,,,N/A,Ink / Paper,447,8/24/2019,2019,Poly International Auction Co.,
Wen Sun,Calligraphy,-not sold-,12020,18040,Artist's Seal,1,37,108,,,N/A,Ink / Paper,448,8/24/2019,2019,Poly International Auction Co.,
Zikai Feng,Untitled,-not sold-,12020,18040,Artist's Seal,1,90,136,,,N/A,Ink / Paper,449,8/24/2019,2019,Poly International Auction Co.,
Lifu Chen,Calligraphy,2074,1803,3006,Artist's Seal,1,33,92,,,N/A,Ink / Paper,450,8/24/2019,2019,Poly International Auction Co.,
Duwei Huang,Calligraphy,-not sold-,450,751,Artist's Seal,1,68,48,,,N/A,Ink / Paper,451,8/24/2019,2019,Poly International Auction Co.,
Hancao Liang,Calligraphy,-not sold-,450,751,Artist's Seal,1,68,32,,,N/A,Ink / Paper,452,8/24/2019,2019,Poly International Auction Co.,
PuChu Zhao,Calligraphy,-not sold-,1503,3006,Artist's Seal,1,62,34,,,N/A,Ink / Paper,454,8/24/2019,2019,Poly International Auction Co.,
Xun Lu,Calligraphy,-not sold-,22550,37580,Artist's Seal,1,47,19,,,N/A,Ink / Paper,455,8/24/2019,2019,Poly International Auction Co.,
Biwu Dong,Calligraphy,-not sold-,3006,4509,Artist's Seal,1,74,37,,,N/A,Ink / Paper,456,8/24/2019,2019,Poly International Auction Co.,
Shizhao Zhang,Calligraphy,-not sold-,2705,4208,Artist's Seal,1,60,31,,,N/A,Ink / Paper,458,8/24/2019,2019,Poly International Auction Co.,
Bai Jiao,Calligraphy,-not sold-,1202,1803,Artist's Seal,1,81,42,,,N/A,Ink / Paper,459,8/24/2019,2019,Poly International Auction Co.,
Zuobin Dong,Calligraphy,-not sold-,4509,7520,Artist's Seal,1,66,32,,,N/A,Ink / Paper,460,8/24/2019,2019,Poly International Auction Co.,
Wang Fu'an,Calligraphy (2),-not sold-,4509,7520,Artist's Seal,1,,,,,N/A,Ink / Paper,462,8/24/2019,2019,Poly International Auction Co.,
Ye Shengtao,Calligraphy (2),8640,7520,12020,,0,,,,,N/A,Ink / Paper,463,8/24/2019,2019,Poly International Auction Co.,
Lao Xiao,Calligraphy,-not sold-,1503,3006,Artist's Seal,1,102,33,,,N/A,Ink / Paper,464,8/24/2019,2019,Poly International Auction Co.,
Huijun Zhou,Calligraphy,-not sold-,4509,7520,Artist's Seal,1,136,68,,,N/A,Ink / Paper,465,8/24/2019,2019,Poly International Auction Co.,
Zhenxiao Gao,Calligraphy (4),-not sold-,6010,9020,Artist's Seal,1,,,,,N/A,Ink / Paper,466,8/24/2019,2019,Poly International Auction Co.,
Tuo Deng,Calligraphy (2),-not sold-,3006,4509,,0,,,,,N/A,Ink / Paper,467,8/24/2019,2019,Poly International Auction Co.,
Deng Sanmu,Calligraphy (2),-not sold-,3006,4509,Artist's Seal,1,,,,,N/A,Ink / Paper,468,8/24/2019,2019,Poly International Auction Co.,
WenZhi Wang,Calligraphy (2),32840,22550,37580,Artist's Seal,1,,,,,N/A,Ink / Paper,469,8/24/2019,2019,Poly International Auction Co.,
Youwei Kang,Calligraphy,-not sold-,9020,12020,Artist's Seal,1,267,60,,,N/A,Ink / Paper,471,8/24/2019,2019,Poly International Auction Co.,
Youwei Kang,Calligraphy,-not sold-,3757,5260,Artist's Seal,1,152,62,,,N/A,Ink / Paper,472,8/24/2019,2019,Poly International Auction Co.,
Deng Sanmu,Calligraphy (4),-not sold-,12020,18040,,0,,,,,N/A,Ink / Paper,473,8/24/2019,2019,Poly International Auction Co.,
Jingnong Tai,Calligraphy,-not sold-,7520,12020,Artist's Seal,1,125,38,,,N/A,Ink / Paper,475,8/24/2019,2019,Poly International Auction Co.,
Menghai Sha,Calligraphy,-not sold-,9020,12020,Artist's Seal,1,136,69,,,N/A,Ink / Paper,476,8/24/2019,2019,Poly International Auction Co.,
Youren Yu,Calligraphy,-not sold-,12020,18040,Artist's Seal,1,137,30,,,N/A,Ink / Paper,477,8/24/2019,2019,Poly International Auction Co.,
Zhenyan Luo,Calligraphy,-not sold-,1503,3006,Artist's Seal,1,128,30,,,N/A,Ink / Paper,479,8/24/2019,2019,Poly International Auction Co.,
Hongzhang Li,Calligraphy,518,6010,9020,Artist's Seal,1,139,36,,,N/A,Ink / Paper,480,8/24/2019,2019,Poly International Auction Co.,
Zhongshu Qian,Calligraphy,-not sold-,2254,3757,Artist's Seal,1,69,34,,,N/A,Ink / Paper,482,8/24/2019,2019,Poly International Auction Co.,
Gongfu Peng,Untitled,-not sold-,751,1202,Artist's Seal,1,78,28,,,N/A,Watercolor and ink / Paper,484,8/24/2019,2019,Poly International Auction Co.,
Yunpeng Ding,Untitled,-not sold-,6010,9020,Artist's Seal,1,16,50,,,N/A,Ink / Paper,505,8/24/2019,2019,Poly International Auction Co.,
Kehong Sun,Untitled (double sided),1037,901,1202,Artist's Seal,1,18,53,,,N/A,Ink / Paper,510,8/24/2019,2019,Poly International Auction Co.,
Chongju Zhang,Untitled,-not sold-,6010,9020,Artist's Seal,1,28,22,,,N/A,Ink / Paper,515,8/24/2019,2019,Poly International Auction Co.,
Shishu Fang,Untitled (2),-not sold-,1202,1803,Artist's Seal,1,,,,,N/A,Watercolor and ink / Paper,516,8/24/2019,2019,Poly International Auction Co.,
Long Mo,Untitled,-not sold-,3006,4509,Artist's Seal,1,25,19,,,N/A,Ink / Paper,519,8/24/2019,2019,Poly International Auction Co.,
Shouping Yun,Untitled,43210,37580,52610,Artist's Seal,1,17,50,,,N/A,Watercolor and ink / Paper,521,8/24/2019,2019,Poly International Auction Co.,
Maoye Sheng,Untitled,-not sold-,30060,45090,Artist's Seal,1,18,55,,,N/A,Watercolor and ink / Paper,522,8/24/2019,2019,Poly International Auction Co.,
Changshi Gui,Untitled,-not sold-,18040,27050,Artist's Seal,1,16,49,,,N/A,Ink / Paper,523,8/24/2019,2019,Poly International Auction Co.,
Da Zhu,Untitled,-not sold-,1202,1803,Artist's Seal,1,26,27,,,N/A,Ink / Paper,524,8/24/2019,2019,Poly International Auction Co.,
Yannian Zhang,Untitled,3456,3006,4509,Artist's Seal,1,34,34,,,N/A,Watercolor and ink / Paper,526,8/24/2019,2019,Poly International Auction Co.,
Zheng Lu,Calligraphy (2),3802,751,1202,Artist's Seal,1,,,,,N/A,Ink / Paper,530,8/24/2019,2019,Poly International Auction Co.,
Daozhou Huang,Untitled (2),-not sold-,6010,9020,Artist's Seal,1,,,,,N/A,Ink / Paper,531,8/24/2019,2019,Poly International Auction Co.,
Shijie Zhang,Untitled,-not sold-,6010,9020,Artist's Seal,1,20,54,,,N/A,Ink / Paper,545,8/24/2019,2019,Poly International Auction Co.,
Yuanqi Wang,Untitled,-not sold-,22550,37580,Artist's Seal,1,17,52,,,N/A,Watercolor and ink / Paper,546,8/24/2019,2019,Poly International Auction Co.,
Shimin Wang,Untitled,-not sold-,22550,37580,Artist's Seal,1,16,51,,,N/A,Watercolor and ink / Paper,547,8/24/2019,2019,Poly International Auction Co.,
Yongheng Qing,Untitled,20740,18040,27050,Unavailable,0,93,164,,,N/A,Watercolor and ink / Silk,552,8/24/2019,2019,Poly International Auction Co.,
Bangda Dong,Untitled,-not sold-,97700,150300,Artist's Seal,1,69,36,,,N/A,Ink / Paper,555,8/24/2019,2019,Poly International Auction Co.,
Fengyi Zhang,Untitled,103710,90180,120240,Artist's Seal,1,217,99,,,N/A,Watercolor and ink / Paper,556,8/24/2019,2019,Poly International Auction Co.,
Emperor Qianlong,Untitled (2),82970,45090,75150,Artist's Seal,1,,,,,N/A,Ink / Paper,557,8/24/2019,2019,Poly International Auction Co.,
Ruitu Zhang,Untitled,-not sold-,90180,120240,Artist's Seal,1,138,42,,,N/A,Watercolor and ink / Paper,558,8/24/2019,2019,Poly International Auction Co.,
Zhilin Zou,Untitled,-not sold-,150300,300600,Artist's Seal,1,122,38,,,N/A,Watercolor and ink / Paper,559,8/24/2019,2019,Poly International Auction Co.,
Yi Ren,Untitled,-not sold-,90180,120240,Artist's Seal,1,133,66,,,N/A,Watercolor and ink / Paper,560,8/24/2019,2019,Poly International Auction Co.,
Shen Huang,Untitled,-not sold-,90180,120240,Artist's Seal,1,198,114,,,N/A,Watercolor and ink / Paper,562,8/24/2019,2019,Poly International Auction Co.,
Da Zhu,Untitled,-not sold-,120240,225450,Artist's Seal,1,123,59,,,N/A,Watercolor and ink / Paper,563,8/24/2019,2019,Poly International Auction Co.,
Zhiqian Zhao,Untitled,-not sold-,90180,120240,Artist's Seal,1,133,40,,,N/A,Watercolor and ink / Paper,564,8/24/2019,2019,Poly International Auction Co.,
Shengmo Xiang,Untitled,-not sold-,90180,120240,Artist's Seal,1,89,35,,,N/A,Ink / Paper,565,8/24/2019,2019,Poly International Auction Co.,
Yong Daoren,Untitled,-not sold-,450,751,Artist's Seal,1,27,34,,,N/A,Watercolor and ink / Paper,576,8/24/2019,2019,Poly International Auction Co.,
Xi Yun,Untitled,-not sold-,751,1202,Artist's Seal,1,128,40,,,N/A,Ink / Paper,578,8/24/2019,2019,Poly International Auction Co.,
Wentao Zhang,Untitled,-not sold-,1202,1803,Artist's Seal,1,119,57,,,N/A,Watercolor and ink / Paper,579,8/24/2019,2019,Poly International Auction Co.,
Kegong Gao,Untitled,691,450,751,Artist's Seal,1,115,50,,,N/A,Watercolor and ink / Paper,581,8/24/2019,2019,Poly International Auction Co.,
Ren Xiong,Untitled,-not sold-,1202,1803,Artist's Seal,1,35,71,,,N/A,Ink / Paper,583,8/24/2019,2019,Poly International Auction Co.,
Chen Li,Untitled,1382,1202,1803,Unavailable,0,87,39,,,N/A,Watercolor and ink / Paper,586,8/24/2019,2019,Poly International Auction Co.,
Jiru Chen,Untitled,-not sold-,2254,3757,Artist's Seal,1,109,35,,,N/A,Ink / Paper,592,8/24/2019,2019,Poly International Auction Co.,
Shen Huang,Untitled,-not sold-,4509,7520,Artist's Seal,1,116,46,,,N/A,Ink / Paper,593,8/24/2019,2019,Poly International Auction Co.,
Jiang Zhu,Untitled,-not sold-,3006,4509,Artist's Seal,1,98,35,,,N/A,Ink / Paper,594,8/24/2019,2019,Poly International Auction Co.,
Shibiao Zha,Untitled,-not sold-,2254,3757,Artist's Seal,1,128,37,,,N/A,Watercolor and ink / Paper,595,8/24/2019,2019,Poly International Auction Co.,
Tao Shi,Untitled,-not sold-,9020,12020,Artist's Seal,1,160,53,,,N/A,Watercolor and ink / Paper,596,8/24/2019,2019,Poly International Auction Co.,
Xi Dai,Untitled,-not sold-,12020,18040,Artist's Seal,1,127,39,,,N/A,Watercolor and ink / Paper,597,8/24/2019,2019,Poly International Auction Co.,
Qipei Gao,Untitled,-not sold-,4509,7520,Artist's Seal,1,171,45,,,N/A,Watercolor and ink / Paper,603,8/24/2019,2019,Poly International Auction Co.,
Jia Wen,Untitled,-not sold-,1503,3006,Artist's Seal,1,87,39,,,N/A,Watercolor and ink / Paper,605,8/24/2019,2019,Poly International Auction Co.,
Xi Dai,Untitled,6910,6010,9020,Artist's Seal,1,174,41,,,N/A,Watercolor and ink / Paper,606,8/24/2019,2019,Poly International Auction Co.,
Xi Dai,Untitled,-not sold-,3006,4509,Artist's Seal,1,40,34,,,N/A,Ink / Paper,607,8/24/2019,2019,Poly International Auction Co.,
Zijiu Liu,Untitled,-not sold-,1503,3006,Artist's Seal,1,75,57,,,N/A,Watercolor and ink / Paper,608,8/24/2019,2019,Poly International Auction Co.,
Shouping Yun,Untitled,-not sold-,7520,12020,Artist's Seal,1,97,39,,,N/A,Watercolor and ink / Paper,609,8/24/2019,2019,Poly International Auction Co.,
Zan Ni,Untitled,-not sold-,12020,18040,Artist's Seal,1,65,31,,,N/A,Ink / Paper,610,8/24/2019,2019,Poly International Auction Co.,
Rangzhi Wu,Untitled,-not sold-,1503,3006,Artist's Seal,1,60,32,,,N/A,Ink / Paper,612,8/24/2019,2019,Poly International Auction Co.,
Wencong Yang,Untitled,-not sold-,3006,4509,Artist's Seal,1,115,27,,,N/A,Ink / Paper,613,8/24/2019,2019,Poly International Auction Co.,
Tingji Zhang,Untitled,-not sold-,9020,12020,Artist's Seal,1,87,40,,,N/A,Ink / Paper,614,8/24/2019,2019,Poly International Auction Co.,
Susu Xue,Untitled,-not sold-,2254,3757,Artist's Seal,1,20,26,,,N/A,Ink / Paper,616,8/24/2019,2019,Poly International Auction Co.,
Gongshou Pan,Untitled,-not sold-,24050,30060,Artist's Seal,1,107,48,,,N/A,Watercolor and ink / Paper,617,8/24/2019,2019,Poly International Auction Co.,
Qipei Gao,Untitled,-not sold-,4509,7520,Unavailable,0,70,38,,,N/A,Watercolor and ink / Paper,618,8/24/2019,2019,Poly International Auction Co.,
Song Wang,Untitled (4),-not sold-,4509,7520,Artist's Seal,1,,,,,N/A,Watercolor and ink / Paper,620,8/24/2019,2019,Poly International Auction Co.,
Chao Chen,Untitled,-not sold-,3757,5260,Artist's Seal,1,137,37,,,N/A,Watercolor and ink / Paper,621,8/24/2019,2019,Poly International Auction Co.,
Gang Xi,Untitled,-not sold-,4509,7520,Artist's Seal,1,28,107,,,N/A,Ink / Paper,623,8/24/2019,2019,Poly International Auction Co.,
Guandai Wu,Untitled (4),5190,4509,7520,Artist's Seal,1,,,,,N/A,Watercolor and ink / Paper,624,8/24/2019,2019,Poly International Auction Co.,
Zan Ni,Untitled (2),-not sold-,7520,12020,Artist's Seal,1,,,,,N/A,Ink / Paper,625,8/24/2019,2019,Poly International Auction Co.,
Qiu You,Untitled,1728,1503,3006,Unavailable,0,123,32,,,N/A,Watercolor and ink / Paper,626,8/24/2019,2019,Poly International Auction Co.,
Shining Lang,Untitled,5190,4509,7520,Unavailable,0,202,55,,,N/A,Watercolor and ink / Paper,627,8/24/2019,2019,Poly International Auction Co.,
Danxu Fei,hanging scroll,-not sold-,5260,8270,Artist's Seal,1,122,36,,,N/A,Watercolor and ink / Paper,628,8/24/2019,2019,Poly International Auction Co.,
Yuan Zhu,Untitled,-not sold-,1503,3006,Artist's Seal,1,89,43,,,N/A,Watercolor and ink / Paper,629,8/24/2019,2019,Poly International Auction Co.,
Wenlin Zheng,Untitled,-not sold-,6010,9020,Unavailable,0,152,85,,,N/A,Watercolor and ink / Paper,635,8/24/2019,2019,Poly International Auction Co.,
Zishi Song,Untitled,-not sold-,1503,3006,Artist's Seal,1,111,41,,,N/A,Watercolor and ink / Paper,637,8/24/2019,2019,Poly International Auction Co.,
Xi Zhu,Untitled,-not sold-,3006,4509,Artist's Seal,1,39,190,,,N/A,Watercolor and ink / Paper,639,8/24/2019,2019,Poly International Auction Co.,
Shining Lang,Untitled,1728,1503,3006,Artist's Seal,1,31,29,,,N/A,Watercolor and ink / Paper,640,8/24/2019,2019,Poly International Auction Co.,
Pu Jiang,Untitled,3456,3006,4509,Artist's Seal,1,82,43,,,N/A,Watercolor and ink / Paper,641,8/24/2019,2019,Poly International Auction Co.,
Ren Xia,Untitled,-not sold-,2705,4208,Artist's Seal,1,120,66,,,N/A,Watercolor and ink / Paper,643,8/24/2019,2019,Poly International Auction Co.,
Jia Cai,Untitled,-not sold-,9020,12020,Artist's Seal,1,88,52,,,N/A,Watercolor and ink / Paper,647,8/24/2019,2019,Poly International Auction Co.,
Nong Jin,Untitled,-not sold-,2705,4208,Artist's Seal,1,118,43,,,N/A,Ink / Paper,648,8/24/2019,2019,Poly International Auction Co.,
Zai Qian,Untitled,-not sold-,1803,3006,Artist's Seal,1,135,44,,,N/A,Watercolor and ink / Paper,649,8/24/2019,2019,Poly International Auction Co.,
Yi Ren,Untitled,-not sold-,4509,7520,Artist's Seal,1,130,61,,,N/A,Watercolor and ink / Paper,650,8/24/2019,2019,Poly International Auction Co.,
Ci Xi,Untitled,-not sold-,12780,18040,Artist's Seal,1,105,52,,,N/A,Watercolor and ink / Paper,651,8/24/2019,2019,Poly International Auction Co.,
Xiaosong Huang,Untitled,-not sold-,2254,3757,Artist's Seal,1,122,36.5,,,N/A,Ink / Paper,652,8/24/2019,2019,Poly International Auction Co.,
Gu Ying Miao,Untitled (double sided),-not sold-,3006,4509,Artist's Seal,1,17,49,,,N/A,Watercolor and ink / Paper,654,8/24/2019,2019,Poly International Auction Co.,
Gang Xu,Untitled,5190,4509,7520,Artist's Seal,1,140,37,,,N/A,Watercolor and ink / Paper,655,8/24/2019,2019,Poly International Auction Co.,
Yigui Zhou,Untitled,-not sold-,4509,7520,Artist's Seal,1,84,47,,,N/A,Watercolor and ink / Paper,656,8/24/2019,2019,Poly International Auction Co.,
Chengpei Wang,Untitled,-not sold-,6010,9020,Artist's Seal,1,130,33,,,N/A,Watercolor and ink / Paper,658,8/24/2019,2019,Poly International Auction Co.,
Yi Ren,Untitled,-not sold-,7520,12020,Artist's Seal,1,28,48,,,N/A,Watercolor and ink / Paper,659,8/24/2019,2019,Poly International Auction Co.,
Shu Chen,Untitled,-not sold-,12020,18040,Artist's Seal,1,132,76,,,N/A,Watercolor and ink / Paper,660,8/24/2019,2019,Poly International Auction Co.,
Yigui Zhou,Untitled,-not sold-,12020,18040,Artist's Seal,1,91,48,,,N/A,Watercolor and ink / Paper,661,8/24/2019,2019,Poly International Auction Co.,
Rui Shang,Untitled,-not sold-,18040,27050,Artist's Seal,1,227,54,,,N/A,Watercolor and ink / Paper,662,8/24/2019,2019,Poly International Auction Co.,
Bangda Xu,Untitled,-not sold-,15030,22550,Artist's Seal,1,67,34,,,N/A,Watercolor and ink / Paper,664,8/24/2019,2019,Poly International Auction Co.,
Wang Jiu,Untitled,-not sold-,52610,82670,Artist's Seal,1,156,42,,,N/A,Watercolor and ink / Paper,665,8/24/2019,2019,Poly International Auction Co.,
Fangying Li,Untitled,20740,18040,27050,Artist's Seal,1,107,39,,,N/A,Ink / Paper,666,8/24/2019,2019,Poly International Auction Co.,
Min Zhen,hanging scroll,17280,15030,22550,Artist's Seal,1,107,53,,,N/A,Ink / Paper,669,8/24/2019,2019,Poly International Auction Co.,
Xifan Yu,Untitled,34570,30060,45090,Artist's Seal,1,193,100,,,N/A,Watercolor and ink / Paper,670,8/24/2019,2019,Poly International Auction Co.,
